domain_regime,location_name,lat,lng,franchise_url,maps_url,business_name,rating,review_count,category,address,hours,phone,status
TX132,"Plano, TX",33.021,-96.719,https://homewellcares.com/in-home-care-tx-plano-tx132,"https://www.google.com/maps/search/HomeWell+Care+Services+Plano%2C+TX/@33.021,-96.719,15z",HomeWell Care Services,4.7,,Home health care service,"1255 W 15th St Suite 450, Plano, TX 75075",Open 24 hours,(469) 596-6500,ok
UT176,"Murray, UT",40.653,-111.871,https://homewellcares.com/in-home-care-ut-murray-ut176,"https://www.google.com/maps/search/HomeWell+Care+Services+Murray%2C+UT/@40.653,-111.871,15z",HomeWell Care Services,5.0,71,Home health care service,"5411 S Vine St Unit 2B, Murray, UT 84107",Open 24 hours,(801) 572-2030,ok
FL129,"Clermont, FL",28.55,-81.752,https://homewellcares.com/in-home-care-fl-clermont-fl129,"https://www.google.com/maps/search/HomeWell+Care+Services+Clermont%2C+FL/@28.55,-81.752,15z",HomeWell Care Services,4.5,17,Home health care service,"1216 Bowman St, Clermont, FL 34711",Open 24 hours,(352) 504-3400,ok
AZ131,"Mesa, AZ",33.392,-111.751,https://homewellcares.com/in-home-care-az-mesa-az131,"https://www.google.com/maps/search/HomeWell+Care+Services+Mesa%2C+AZ/@33.392,-111.751,15z",HomeWell Care Services,4.6,22,Home health care service,"3707 E Southern Ave UNIT 1019, Mesa, AZ 85206",Open 24 hours,(480) 629-8322,ok
FL180,"Sarasota, FL",27.339,-82.474,https://homewellcares.com/in-home-care-fl-sarasota-fl180,"https://www.google.com/maps/search/HomeWell+Care+Services+Sarasota%2C+FL/@27.339,-82.474,15z",HomeWell Care Services,4.2,30,Home health care service,"2650 Bahia Vista St STE 205, Sarasota, FL 34239",Open 24 hours,(941) 303-5642,ok
TN152,"Hendersonville, TN",36.306,-86.609,https://homewellcares.com/in-home-care-tn-hendersonville-tn152,"https://www.google.com/maps/search/HomeWell+Care+Services+Hendersonville%2C+TN/@36.306,-86.609,15z",HomeWell Care Services,4.6,67,Home health care service,"177 E Main St #6, Hendersonville, TN 37075",Open 24 hours,(615) 622-9360,ok
FL149,"Delray Beach, FL",26.457,-80.067,https://homewellcares.com/in-home-care-fl-delray-beach-fl149,"https://www.google.com/maps/search/HomeWell+Care+Services+Delray+Beach%2C+FL/@26.457,-80.067,15z",Results,5.0 stars 3 Reviews,,General practitioner,·,Closed,(561) 218-4198,ok
MD163,"Towson, MD",39.401,-76.599,https://homewellcares.com/in-home-care-md-towson-md163,"https://www.google.com/maps/search/HomeWell+Care+Services+Towson%2C+MD/@39.401,-76.599,15z",HomeWell Care Services,4.8,,Home health care service,"205 E Joppa Rd STE 103, Towson, MD 21286",Open 24 hours,(410) 441-3650,ok
TX200,"Seabrook, TX",29.561,-95.035,https://homewellcares.com/in-home-care-tx-seabrook-tx200,"https://www.google.com/maps/search/HomeWell+Care+Services+Seabrook%2C+TX/@29.561,-95.035,15z",HomeWell Care Services,4.8,,Home health care service,"2600 NASA Road 1 #102, Seabrook, TX 77586",Open 24 hours,(832) 536-2228,ok
MI130,"Troy, MI",42.558,-83.155,https://homewellcares.com/in-home-care-mi-troy-mi130,"https://www.google.com/maps/search/HomeWell+Care+Services+Troy%2C+MI/@42.558,-83.155,15z",HomeWell Care Services,4.6,,Home health care service,"560 Kirts Blvd #105, Troy, MI 48084",Open 24 hours,(248) 886-6161,ok
MA154,"Natick, MA",42.308,-71.381,https://homewellcares.com/in-home-care-ma-natick-ma154,"https://www.google.com/maps/search/HomeWell+Care+Services+Natick%2C+MA/@42.308,-71.381,15z",HomeWell Care Services,4.9,,Home health care service,"5 Commonwealth Rd # 3B, Natick, MA 01760",Open 24 hours,(781) 755-8282,ok
TX133,"North Richland Hills, TX",32.849,-97.215,https://homewellcares.com/in-home-care-tx-north-richland-hills-tx133,"https://www.google.com/maps/search/HomeWell+Care+Services+North+Richland+Hills%2C+TX/@32.849,-97.215,15z",HomeWell Care Services,4.9,,Home health care service,"5583 Davis Blvd Suite 200, North Richland Hills, TX 76180",Open 24 hours,(817) 382-0622,ok
CO159,"Colorado Springs, CO",38.898,-104.744,https://homewellcares.com/in-home-care-co-colorado-springs-co159,"https://www.google.com/maps/search/HomeWell+Care+Services+Colorado+Springs%2C+CO/@38.898,-104.744,15z",HomeWell Care Services,4.6,,Home health care service,"4440 Barnes Rd Suite 210, Colorado Springs, CO 80917",   Add hours,(719) 358-6873,ok
AZ165,"Tucson, AZ",32.335,-110.976,https://homewellcares.com/in-home-care-az-tucson-az165,"https://www.google.com/maps/search/HomeWell+Care+Services+Tucson%2C+AZ/@32.335,-110.976,15z",HomeWell Care Services,5.0,,Home health care service,"235 W Giaconda Way # 227, Tucson, AZ 85704",Open 24 hours,(520) 327-2555,ok
TN168,"Shelbyville, TN",35.483,-86.46,https://homewellcares.com/in-home-care-tn-shelbyville-tn168,"https://www.google.com/maps/search/HomeWell+Care+Services+Shelbyville%2C+TN/@35.483,-86.46,15z",HomeWell Care Services,5.0,,Home health care service,"112 Public Square E Suite 2B, Shelbyville, TN 37160",Open 24 hours,(931) 303-1129,ok
TX169,"Cypress, TX",29.997,-95.696,https://homewellcares.com/in-home-care-tx-cypress-tx169,"https://www.google.com/maps/search/HomeWell+Care+Services+Cypress%2C+TX/@29.997,-95.696,15z",HomeWell Care Services,4.8,,Home health care service,"17920 Huffmeister Rd Suite 240, Cypress, TX 77429",Open 24 hours,(281) 213-4302,ok
OH117,"Worthington, OH",40.1,-83.018,https://homewellcares.com/in-home-care-oh-worthington-oh117,"https://www.google.com/maps/search/HomeWell+Care+Services+Worthington%2C+OH/@40.1,-83.018,15z",HomeWell Care Services,4.7,,Home health care service,"6649 N High St #200, Worthington, OH 43085",Open 24 hours,(614) 528-0088,ok
TX194,"Mansfield, TX",32.554,-97.122,https://homewellcares.com/in-home-care-tx-mansfield-tx194,"https://www.google.com/maps/search/HomeWell+Care+Services+Mansfield%2C+TX/@32.554,-97.122,15z",HomeWell Care Services,4.7,,Home health care service,"1475 Heritage Pkwy #221, Mansfield, TX 76063",Open 24 hours,(817) 857-1181,ok
PA119,"Trooper, PA",40.14,-75.391,https://homewellcares.com/in-home-care-pa-trooper-pa119,"https://www.google.com/maps/search/HomeWell+Care+Services+Trooper%2C+PA/@40.14,-75.391,15z",HomeWell Care Services,3.7,,Home health care service,"72 S Trooper Rd, Trooper, PA 19403",Open 24 hours,(610) 233-2323,ok
AR174,"Conway, AR",35.091,-92.435,https://homewellcares.com/in-home-care-ar-conway-ar174,"https://www.google.com/maps/search/HomeWell+Care+Services+Conway%2C+AR/@35.091,-92.435,15z",HomeWell Care Services,5.0,,Home health care service,"1121 Front St Suite 1, Conway, AR 72032",Open 24 hours,(501) 358-6175,ok
AK112,"Anchorage, AK",61.167,-149.848,https://homewellcares.com/in-home-care-ak-anchorage-ak112,"https://www.google.com/maps/search/HomeWell+Care+Services+Anchorage%2C+AK/@61.167,-149.848,15z",HomeWell Care Services,4.7,,Home health care service,"1801 E Dowling Rd Suite 300, Anchorage, AK 99507",Closed  · Opens 8 AM Mon,(907) 868-3100,ok
AZ179,"Surprise, AZ",33.639,-112.386,https://homewellcares.com/in-home-care-az-surprise-az179,"https://www.google.com/maps/search/HomeWell+Care+Services+Surprise%2C+AZ/@33.639,-112.386,15z",HomeWell Care Services,3.4,,Home health care service,"15128 Bell Rd Suite 3-01, Surprise, AZ 85374",Open 24 hours,(888) 399-0309,ok
KS166,"Overland Park, KS",38.938,-94.665,https://homewellcares.com/in-home-care-ks-overland-park-ks166,"https://www.google.com/maps/search/HomeWell+Care+Services+Overland+Park%2C+KS/@38.938,-94.665,15z",HomeWell Care Services,5.0,,Home health care service,"10500 Barkley St # 112, Overland Park, KS 66212",Open 24 hours,(913) 295-9205,ok
